Bubble1;;Bubble3;;Bubble8;;Bubble10;;Bubble12;;Bubble16;
t;d;t;d;t;d;t;d;t;d;t;d
167;489;167;534;167;253;167;506;167;339;167;503
333;517;333;635;333;409;333;764;333;667;333;861
500;584;500;720;500;613;500;945;500;849;500;1092
667;674;667;771;667;824;667;1060;667;996;667;1291
833;689;833;818;833;900;833;1196;833;1127;833;1388
1000;717;1000;829;1000;989;1000;1271;1000;1233;1000;1514
1167;725;1167;907;1167;1122;1167;1319;1167;1321;1167;1625
1333;779;1333;960;1333;1174;1333;1373;1333;1381;1333;1717
1500;777;1500;975;1500;1226;1500;1505;1500;1484;1500;1794
1667;854;1667;1007;1667;1247;1667;1573;1667;1572;1667;1858
1833;877;1833;1034;1833;1313;1833;1611;1833;1637;1833;1915
2000;869;2000;1036;2000;1309;2000;1693;2000;1679;2000;1968
2167;900;2167;1036;2167;1374;2167;1733;2167;1763;2167;2027
2333;909;2333;1044;2333;1390;2333;1784;2333;1807;2333;2088
2500;911;2500;1052;2500;1438;2500;1815;2500;1854;2500;2107
2667;955;2667;1059;2667;1462;2667;1833;2667;1912;2667;2171
2833;966;2833;1075;2833;1499;2833;1886;2833;1960;2833;2212
3000;976;3000;1086;3000;1533;3000;1895;3000;2001;3000;2264
3167;981;3167;1116;3167;1564;3167;1895;3167;2049;3167;2291
3333;1016;3333;1130;3333;1578;3333;1916;3333;2095;3333;2322
3500;1028;3500;1134;3500;1603;3500;1916;3500;2131;3500;2378
3667;1057;3667;1136;3667;1625;3667;1988;3667;2164;3667;2404
3833;1052;3833;1159;3833;1650;3833;2016;3833;2219;3833;2431
4000;1082;4000;1172;4000;1650;4000;2071;4000;2244;4000;2486
4167;1095;4167;1167;4167;1679;4167;2113;4167;2286;4167;2512
4333;1095;4333;1186;4333;1692;4333;2152;4333;2314;4333;2533
4500;1096;4500;1196;4500;1704;4500;2185;4500;2354;4500;2575
4667;1113;4667;1217;4667;1715;4667;2211;4667;2385;4667;2617
4833;1117;4833;1233;4833;1730;4833;2235;4833;2407;4833;2628
5000;1138;5000;1258;5000;1737;5000;2273;5000;2432;5000;2639
5167;1135;5167;1267;5167;1757;5167;2277;5167;2468;5167;2667
5333;1160;5333;1294;5333;1774;5333;2306;5333;2506;5333;2675
5500;1181;5500;1298;5500;1780;5500;2827;5500;2522;5500;2697
5667;1198;5667;1322;5667;1810;5667;2781;5667;2537;5667;2710
5833;1225;5833;1344;5833;1827;5833;2829;5833;2555;5833;2720
6000;1224;6000;1358;6000;1838;6000;2843;6000;2581;6000;2728
6167;1252;6167;1365;6167;1845;6167;2821;6167;2611;6167;2735
6333;1269;6333;1374;6333;1867;6333;2796;6333;2630;6333;2758
6500;1284;6500;1388;6500;1878;6500;2796;6500;2652;6500;2777
6667;1282;6667;1384;6667;1887;6667;2801;6667;2676;6667;2796
6833;1324;6833;1390;6833;1910;6833;2844;6833;2726;6833;2802
7000;1338;7000;1396;7000;1923;7000;2844;7000;2734;7000;2812
7167;1336;7167;1399;7167;1920;7167;2844;7167;2737;7167;2820
7333;1352;7333;1417;7333;1941;;;7333;2764;7333;2828
7500;1364;7500;1431;7500;1948;;;7500;2771;7500;2834
7667;1382;7667;1450;7667;1957;;;7667;2795;;
7833;1387;7833;1473;7833;1963;;;7833;2815;;
8000;1384;8000;1466;8000;1980;;;8000;2817;;
;;8167;1488;8167;1997;;;8167;2827;;
;;8333;1507;8333;2007;;;8333;2831;;
;;8500;1520;8500;2026;;;8500;2839;;
;;8667;1533;8667;2048;;;8667;2839;;
;;8833;1542;8833;2058;;;8833;2857;;
;;9000;1568;9000;2069;;;9000;2862;;
;;9167;1563;9167;2097;;;9167;2867;;
;;9333;1581;9333;2124;;;;;;
;;9500;1583;9500;2155;;;;;;
;;9667;1588;9667;2176;;;;;;
;;9833;1618;9833;2216;;;;;;
;;10000;1636;10000;2223;;;;;;
;;10167;1658;10167;2253;;;;;;
;;10333;1680;10333;2260;;;;;;
;;10500;1680;10500;2292;;;;;;
;;10667;1688;10667;2303;;;;;;
;;10833;1695;10833;2313;;;;;;
;;11000;1721;11000;2313;;;;;;
;;11167;1731;11167;2317;;;;;;
;;11333;1754;11333;2317;;;;;;
;;11500;1786;11500;2325;;;;;;
;;11667;1789;11667;2325;;;;;;
;;11833;1795;11833;2350;;;;;;
;;12000;1805;12000;2363;;;;;;
;;12167;1819;12167;2363;;;;;;
;;12333;1824;12333;2376;;;;;;
;;12500;1843;12500;2376;;;;;;
;;12667;1835;;;;;;;;
;;12833;1847;;;;;;;;
;;13000;1876;;;;;;;;
;;13167;1877;;;;;;;;
;;13333;1886;;;;;;;;
;;13500;1899;;;;;;;;
;;13667;1899;;;;;;;;
;;13833;1917;;;;;;;;
;;;;;;;;;;;
