regstat6;regstat2;regstat14
1456.8;1866.2;2741.2
1476.6;1327.7;1813.7
1964.6;995.6;2918.5
3701.3;2028.5;2515.6
1650.4;1531.6;4160.1
1722.8;1789.7;7048.5
1451.2;1422.8;2126.6
1740.5;1562.7;2250.1
1587.4;1740.6;1713.3
3945.7;1261.3;3673.9
1198.3;445.8;2780.5
3688;2147.1;1263.3
2100.9;1236.2;5123.6
1126.5;2105.9;1851.2
3466.8;1339.9;5346.6
3594;1898.9;6370.6
2134.2;1986;2699.6
803.5;1224.3;2247.4
971;2167.3;1437.5
3766.6;375.2;2091.5
1924;1158.1;6036.7
1642.7;1931.3;2675.4
1616.2;1154.3;2316.6
1348.1;1778.2;2377.5
1555.8;1915;8675.1
1662.4;1544.2;3600.7
4393.3;906.8;3933.4
1650.1;1808.2;4592.9
1123.1;1173.9;1928.2
3956.3;1935.8;5756.8
2071.9;1116.7;4507.7
1038.5;2013.6;3703.6
3391.5;1744.6;2408.8
4011.5;1705;2624.8
1026.3;1630.4;2709.2
3660.4;1660.5;4566
1872.4;1137.1;1975.1
1601.4;1924.7;2596.4
1932.7;1901.1;3319.2
4997.9;1048.1;900.9
1590.2;1595.8;3409.7
1357.6;1777.5;2294.5
3844;1572.5;3995.6
2087.6;714.4;685.3
997.5;1448.9;3838.2
3227.7;1800.6;2283.4
4637.5;998.9;1400.2
1050.2;1556.8;1276.2
3650.4;1880;4212.3
2160.3;1536.8;2982.9
1685.4;1335.2;2034.9
1370.4;1701.4;3602.1
1594.6;1718.3;4859.5
1698.2;952.4;2124.6
4279.6;1616.5;1817.4
1611.1;647.4;2812
1336.4;1876.8;2991.2
3721.7;1572.2;2889
2166.3;1244.7;1493.1
3600.4;1184.1;2426
2302.3;1516.3;3162.5
3683.4;1870.9;2427.8
2518.1;1595.1;2637.6
947.9;898.5;1585.9
3613.4;2310.1;3374
2233.6;1324.5;2453.8
1703.5;1240.2;2946.2
1718.2;1106.3;1553.1
1730.5;1517.1;1852.7
1796.1;2338.5;2778.8
4616.8;1398.9;3457.6
1546.8;1969.5;4011.6
3566.5;987.3;7228.2
2047.3;1006.1;1728.6
1305.8;1745.3;872.9
4480.9;1848.2;3932.8
2385.5;2229.6;5092.8
4039.2;1242.8;1339.2
2524.8;1764.7;771.5
905.4;761.3;5096.5
3497.9;1811.4;1701.8
2162.9;1992.6;1981.8
1743.9;1689.7;5587.3
3589.4;2112.5;2621.3
1651.7;1685.5;3548
4183.1;764.8;1751.7
1498.9;1862.2;7013.8
3439.8;2341.2;2535.9
2026.8;1595.1;2317.4
1268;1563.2;2480.2
4488.7;1338.3;8055.8
2337.6;2003.2;4232.5
3662.9;2028.5;2055.2
2481.8;1819.7;3120.1
917.3;1543.8;4926.3
3620.9;2612;6081
2716.4;1444.5;3894.5
3474.6;1176;2231.7
1483;2298;2519.7
3914.2;1169;2976.9
1666.3;1726.6;2003.5
3485.4;563.6;2842.6
2097.9;1615.7;4958.7
1279;2484.9;3063.1
5266.7;1695.6;3620.8
3701.3;1029.7;3822.3
611.6;2110.4;758.6
889.7;1286;2207.9
3702.5;1714.4;1725.9
4059.3;1538.5;3771.8
2803.6;2347.8;4019.6
3309.8;1688.7;2276.3
2021.9;890.6;1860.2
2014;1009.9;2535.3
890.8;1835.9;2824.4
3789;1160.8;1436.4
2145.4;1744.4;1995.9
1258;524.6;2956.5
4356;2326.6;3501.6
3732.2;1646.8;1800.9
497.2;838.4;2259.1
875.8;1860.2;2993.9
4804.6;1711.1;3100.5
2819.5;1119.3;4030.7
2307.4;1630.7;2888.7
1716.6;2416;9870.1
3348.7;1650.1;1526.3
3291.6;1782.8;3218
1975.4;1710.7;2799.1
1993.3;1508.7;1508.6
1246.2;2698.3;2810.1
4895.1;1666.6;3199.6
4119.1;578.3;2593.6
5740.8;1616.3;2689.7
836.1;1753.7;1701.1
3206.9;766.5;3497.7
2091;1351.5;1785.6
1655.2;1694.4;818
3289.2;2905;2132.6
3219.2;1755.3;2017.8
1945.5;503.9;3847.9
1955.4;1575.1;1668.4
4711.3;1784.6;605.9
2048.7;1186.4;3381
1242.1;1692.8;2358.8
1053;3026.7;595.5
4440.2;1804.3;4355.5
4416.2;417.9;1556
4132.5;1438.7;798.2
2057.9;1944.2;2468.8
1592.9;1006.9;2840
3278.9;2219.4;3502
3295;1059;11412.6
1902.8;1611.3;1827.4
2019.2;3194.7;2450.5
4665.4;1333.9;2151
2027.4;1871.6;4184.7
1289.8;580.8;2055.7
1222.5;849.2;4337.5
3877;2160;7462.7
4224.5;901.5;2278.4
4809.5;789;3837.4
1964.2;1519.6;2788.5
1524.7;2290;2580.4
3422.3;1549.8;2124.7
3359.4;1864.5;5141.8
1825.6;276.4;2839.1
1974.6;1194.8;4235.2
2063.4;682.2;1809.2
4604.3;684.5;4360.2
1202.7;2392.9;3809.6
3569.1;2821.1;3884.3
3919.1;2381.1;1287.1
4870.9;1922.2;3304.3
1983.5;1216;4185
1466.4;2249.1;1994.3
632.8;2668;5418.3
4406.9;1892.3;1373.1
3539.7;2489.3;3470.5
1868.3;1339.1;2948.7
2074.1;1977.1;4478.1
2189.1;1167;2986.8
1914.3;2156.7;1429.7
4558.5;442.7;9153.7
3243.8;2772.8;3354.4
1179.9;1778.8;2635
3765.9;1135.1;3135.3
3808.2;2452.4;1606.7
4587.7;1963.2;2783.1
1978.5;1115.4;2499.4
1662.6;2078.8;3348.5
4197.9;349.4;730.9
4010.2;2928.1;1785.1
2056;1697.5;646.7
1709.1;1041.7;2424.1
2133;1017.9;2087.1
1733.3;2526.1;2129.3
4319.3;2029.7;1628.2
3119.2;1102.1;3770.1
2429.9;2195.9;5154.2
3333.4;2848.4;2125.9
3620.9;934.7;3570.6
4151.3;1663.9;591
1865.1;2023;3570.1
1518.3;2689.8;2316.5
5149.1;1018.2;859.5
2091.9;2791.6;2918.8
2110;257.4;3250.5
2073.8;737.7;3567.3
1976.6;1527;2255.9
4061.2;1969.9;535.7
3010.7;1941.1;3111.7
2481.5;2305.3;2845.4
3269.7;972.9;3722
643.3;2983.3;2417.5
4201.6;1418.4;793.7
3901.3;1062.1;1751.8
1700.3;1166.4;6541.2
4637.9;1845.5;2922.6
2900;1834.6;3860.7
2362.1;2256.7;11772
2075.8;2804.7;3171.4
4275.3;944;2169
3031.3;3292.8;5897.7
2380.4;1218.6;4185.1
3182;900.8;3290.7
552.2;1096.8;1925.2
3827.1;1822.3;2835.9
1602.5;2522.5;6316.7
4716.1;1570.7;1783.6
2114.1;1884.8;2989.2
1845.5;2291.5;4910.2
2158.3;3677.2;3810.6
5531.2;906.3;1870.4
2933.7;1206;3945.9
2325.5;1349.8;4022.8
3515.7;1823.8;1494.9
1282.4;2600;1891.7
2422.2;1434.1;2511.8
1650;1354.2;2084.3
4435.6;1874.2;3607.8
1937.7;2203.1;3198
2345.9;4048.9;618.4
2288.9;802.2;6488.7
