regstat2;regstat7;regstat13
1569.8;3044.5;513.6
1419.2;583;6275.4
1489.8;438.5;847.5
1460.5;714;2317
1915.9;2272.8;674.7
844.3;1241.3;315.8
707;1039.5;168
1134.5;496.7;908.7
1451.1;2050.9;1208.8
2181.5;1348.6;1681.2
298.8;1432.2;4841.6
1304.4;3224.7;659.6
288.6;694.6;5127.4
1425.1;461.5;2740.9
770.7;373.7;1010.3
1664.4;4020.1;10912.8
1273.3;3981.7;3064.7
1182.8;1001.1;3002
1070.4;1706.5;8032.8
436.4;4328.5;7449
445.5;1366.2;5645.9
861.3;3485.6;469.8
1617.5;1170.8;765
1649.6;1369.1;2210.7
2735.9;1030.4;255.3
254;423.8;1634
2424.2;1180.3;795.7
1051.8;576;149.5
1716.5;478.3;970.5
1146.1;1282;836.5
2229.7;732.7;430.3
351.7;1632.9;1777.9
296.1;674.4;696.3
200.6;927.2;1442.9
1486.1;721.1;4639.7
698.7;3085.5;634.5
447.2;876.3;2609.2
1712.2;660.2;8017.9
911.1;2056.8;7207.9
650.1;1216.9;3191.3
651.9;735.5;7884.5
1343.2;1703.8;5020.5
291.6;571.6;5275.1
384.8;2883.6;5703.9
1099.1;1574.2;401.1
1278.4;1415.1;379.9
1987.8;1551.5;669.2
1859.8;358.5;653.3
1719.3;2896.4;1490.4
661.6;198.8;911.2
481.2;1517.1;728.6
1414.2;2578.3;2943.1
785.5;2646.7;1544.2
440.6;1638.3;822.8
1053.8;1910.6;335.6
1198;2889.7;658.8
970.1;1762.6;294.8
826.5;603.3;11232.7
768.9;820.1;607.2
2390.5;3154;7169.1
1440.1;409.4;2956.4
1433;447.2;7577.3
1326.5;2556.9;7847
1348.3;275.2;7688.1
1376.8;1981.4;603.6
771.9;1081.9;2146.4
1834.1;1335.4;562.7
493.1;674.4;324.8
1409.8;1889;6295.4
1251;1322.4;772.4
1376.6;1362;2938.8
381.6;353.4;2082.4
811.3;1763.3;164.2
1324.9;1485.7;647.9
2088.9;3243.2;575
1185.4;1796.9;7118
1726.3;2069.8;3204.5
925.9;1184.5;10470.8
1040.3;2522.3;788.1
2437;2253.7;4397.6
918;564.1;9835.2
720.6;313.9;6136.2
1835;2976.1;3116.1
1198.7;2454.4;9152.6
1208.9;444.1;1199.2
1424.7;1944.2;501.4
330.4;1802.7;6228.6
1219;2372.9;1680.6
1244.7;2766.7;1148.4
554.1;1170.4;714.4
1212;983.1;2734.5
2741.7;2531.2;2050.4
2226.8;2801.2;596.6
1588.4;574.8;986.9
2620.5;2109.6;2487
1063.9;1292.7;1153.5
356.5;1351.5;615.7
203;1564.4;638.2
191.4;1971.8;2027.8
1532.6;1445.1;721.3
1287.5;481.5;683.1
543.6;1638;400.1
1719.3;2317.6;378.3
1289;1032.8;7147.9
651.9;1233.7;5016.4
382;785.5;13491.8
816.2;267.2;737.6
591.8;274;4337.9
271.6;3699.6;6332.1
1024.4;4015.2;1143.8
2265.7;2948.3;667.2
1933.8;547.8;504.5
1642.3;1523.9;398.5
1097.1;2480.4;679.2
769.7;2409.6;1828.4
1045.3;154;1930.9
1061.2;1237.1;2578
648.4;683.7;577.4
729.3;3345.8;901.8
968;457.9;2482.5
437.7;1966.5;1863.7
277.4;1224.8;1200.3
420.4;3309.8;617.2
2319.6;3716.8;5976.5
1459.6;647.6;905.2
1326.6;4566.2;1754.8
1311;1245.8;525
1238.9;290.5;1664.7
576.8;736.2;313.8
1284.8;970.5;675.4
1694.3;1337.5;255.4
1148.4;418.2;691.9
1131.3;1250;5547.1
1239.7;1016.1;1128.7
1249.1;3258.7;430.8
749.6;1900.5;627.9
1125.6;295.3;630.7
367.9;1118.4;1962.2
743.6;1198.4;3063.8
934.3;533;1664.4
1967.1;361.8;7189.3
1644.2;655.2;2468.7
831.2;1893.4;853.2
247;1628.8;511.3
639.9;408.4;583
2466.6;812.5;5443.3
1768.1;3189.2;1171.6
1249.4;756.5;513.5
1135.9;668.9;1557.4
463.1;1735.1;1071.4
1450.9;2847.4;357.7
1674.1;621.6;341.6
1284.2;632.3;223.2
1353.3;1148.6;469.7
1207.4;824.2;596.2
286.4;1680.6;213.3
664.8;2868.4;650.7
1498.6;516.3;5605.4
1714.9;2639.2;1117
684.7;695.5;636.9
1048.2;690.2;2030.3
1442.9;3031.3;380.1
2456;169.4;549.3
992.9;1898.1;2874.4
286.1;1287;8857.4
1421.1;658.3;7299
944.7;2653.4;1596.5
1197.7;3071.1;6301
1543.6;1846.2;805.4
573.2;1048.5;5388.6
888.2;2180.8;567.2
2024.4;1246.7;1147.5
526;538.6;456.7
2064.6;1098.8;978.2
789;2020.2;622.2
1117.5;533;2975.6
1770.8;382.8;624
959.6;1738.6;204.9
2725.6;1216.2;741.3
1210.6;154.8;268.2
1412;1349.6;1269.9
654;1666.2;632.9
600.1;897.2;352.5
213;611;746.2
1217.7;2814.8;611.2
1239.2;2643.4;1978.6
848.3;2001.8;5330.9
1155.6;2020.1;1100.9
1275.4;3313.2;337.5
1868.6;325.5;529.7
1162.3;1997;2878.8
1136;1753.6;9512.3
635.5;2865.7;7059.6
860.1;682.6;8411
635.9;2275.3;2258.8
573.2;2619.2;1535
1942.8;281.5;799.4
1492.7;1465.9;186.8
331.6;2455.8;544.7
248.5;2117.7;1114.5
2340.9;2833.2;7270
1255.1;1223.1;519.4
1649;372.9;407
1049;2036.2;2706.5
1807.6;1587.8;4327.9
1591.6;1927.3;5427.6
1321.7;805.6;289.3
3156.8;2690.6;414.5
1364.4;2286.4;1064.4
1486.6;1597.6;529.6
1760.8;940.8;326.3
2401.6;642.6;641.8
595.1;1104.2;316.7
2441.1;1673.1;1102.9
1304.5;786.3;267
2347.5;1193.9;600.7
990.7;716;1263.3
420.7;3488;258.9
1149.2;1267.3;478.6
514.3;1196.8;388
1452.7;562.1;5312.6
1476.4;1794.6;2890.2
271.4;2205.4;281.5
906.8;621.3;490.5
2205.1;763.4;7494.5
938.5;1393.4;9674.3
442.3;811.4;2515.4
834.7;1097.8;5790
1329.3;1065.4;1640.4
176.2;756.6;8587
1142.7;1575.8;5610.7
798.3;299.3;6926
521.3;1152.1;6709.4
1984.9;2377.7;202.2
1974.7;515.8;477.4
480.1;1756.5;8449.7
1124.7;2252.3;4382.8
1048.9;3597.8;2811
731.6;652.2;356
3243.7;3739.5;558.3
587.5;3695.9;3612.3
1435.6;384.5;6341.5
1504.9;1208;1315
575.1;1245;1066.7
2004.4;1200.2;3379.9
585.8;612.2;436
1346.8;3223;2162.8
1099.3;893.7;879.4
803.5;959.7;656.8
786.2;173.1;815.1
1312.7;1939.7;415.3
1043.5;1094.2;824.6
511.5;689.3;379.5
611.6;2508.7;236.6
1399.4;2209.1;7521.8
1862;216.2;161.4
1136;3068.3;466.5
2826.8;1539.8;7394.4
909.6;518.8;2949.8
1649.9;3781.1;1579.9
1344.3;1813.7;8464.2
1538.8;487.6;8861
1377.9;791.7;1415.7
3129.4;640.5;9460
1679;341.6;6445.4
1242;775.8;404.1
865.1;555.7;210.3
2365.3;288.1;4401.2
2534.9;1109.5;1037.7
1064.5;1573.9;2731.2
2538.1;645.7;1343.6
1449.5;1157.8;3280.2
1492.7;2701.5;6125
972.1;575.3;447.8
743.4;3319.1;823.7
845;478.6;520.9
1623.6;924.9;1609
407;636.3;3670.2
1193.9;1918.9;931.9
358.3;3428.2;3931.1
1204.8;1065.8;358.3
819.9;1195.5;2548.9
990.3;3181.4;697.3
713;625.2;820.7
1937.6;467.5;365.5
1212.2;2185.5;556.3
466.4;1318.9;912.9
1784.8;1584.5;4119.4
3283.2;1879;793.2
418.5;1543.3;513.6
612.5;2221.7;2356.8
1025.1;494.2;277.2
686.8;313.3;478.1
1006.4;2821.8;413.2
1066.5;472.5;2148.4
507.2;2154.7;2598.9
1265.3;1668.8;1525.4
1093.6;2369.1;9153.3
1023.9;1771.3;1422.7
1447.8;425.7;9194.8
984;3192.6;4462.6
478.7;3321.5;334.6
562.5;2840.1;7052.1
1173;2239.7;869.6
834;1552.5;2537.3
851.8;1102.8;288.1
713;2383.9;4960.5
1431.6;2498.7;1026.5
2011.1;1820.7;5497.2
576.2;279.1;1960.8
412;1788.7;302.9
809.3;2675.4;791.5
1018;1531.6;933
1588.6;455.1;529.6
2653.7;296.5;3889.8
1273.9;1936.9;2994.4
1641;973.9;1994.5
1261.7;238.7;438.9
703.5;372.8;2708.2
1123;2291.6;624.1
1578.7;1504;225.3
231.6;1559.6;661
2848.9;2526.3;3578.7
2172.5;689.5;285.8
939.5;1435.2;821.6
2380.2;1067.6;2452.5
2463.8;1214.2;953.2
1677.6;2826.8;186
818.1;557.9;313.5
567.3;1359.4;197.9
1653.4;3290.5;186.9
686.7;705.5;1526.9
1206.4;3037.4;2708.2
1175;1960.7;9199.8
1751.6;3051.2;247.7
1472.1;3022.5;4332.5
2298.7;1021.8;7540.5
